ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000158,HY190061,03/18/2015 11:20:00 PM,060XX S AUSTIN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,false,false,0812,008,23,64,14,1137437,1863806,2015,02/10/2018 03:50:01 PM,41.782423303,-87.771668137,"(41.782423303, -87.771668137)"
10000159,HY190043,03/18/2015 11:00:00 PM,057XX N KENMORE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,2022,020,48,77,04B,1168207,1938358,2015,02/10/2018 03:50:01 PM,41.986392486,-87.656700734,"(41.986392486, -87.656700734)"
10000160,HY190116,03/18/2015 03:00:00 PM,068XX S DANTE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0332,003,5,43,04B,1187137,1860030,2015,02/10/2018 03:50:01 PM,41.771026291,-87.589574167,"(41.771026291, -87.589574167)"
10000161,HY190135,03/18/2015 04:00:00 AM,066XX S JEFFERY DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0331,003,5,42,07,1190931,1861403,2015,02/10/2018 03:50:01 PM,41.774703033,-87.575622642,"(41.774703033, -87.575622642)"
10000163,HY190083,03/18/2015 11:46:00 PM,083XX S STONY ISLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0412,004,8,45,18,1188253,1850180,2015,02/10/2018 03:50:01 PM,41.743970443,-87.585797123,"(41.743970443, -87.585797123)"
10000164,HY190123,03/19/2015 02:55:00 AM,031XX W 44TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,false,false,0922,009,14,58,14,1156338,1875302,2015,02/10/2018 03:50:01 PM,41.813610224,-87.702061305,"(41.813610224, -87.702061305)"
10000166,HY190133,03/19/2015 03:00:00 AM,014XX E 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0332,003,5,43,08B,1186981,1858867,2015,02/10/2018 03:50:01 PM,41.767838617,-87.590182832,"(41.767838617, -87.590182832)"
10000169,HY190064,03/12/2015 10:00:00 AM,007XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,1524,015,37,25,08A,1138890,1904410,2015,02/10/2018 03:50:01 PM,41.893820645,-87.765356519,"(41.893820645, -87.765356519)"
10000170,HY190136,03/19/2015 03:51:00 AM,002XX N MAYFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1512,015,29,25,08B,1137120,1901058,2015,02/10/2018 03:50:01 PM,41.884654292,-87.771937787,"(41.884654292, -87.771937787)"
10000171,HY190088,03/18/2015 02:30:00 PM,020XX N CLARK ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,false,false,1814,018,43,7,02,1173852,1913957,2015,02/10/2018 03:50:01 PM,41.919311217,-87.636668238,"(41.919311217, -87.636668238)"
10000172,HY190131,03/19/2015 01:30:00 AM,072XX S CONSTANCE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0324,003,5,43,05,1189623,1857463,2015,02/10/2018 03:50:01 PM,41.763922875,-87.5805439,"(41.763922875, -87.5805439)"
10000173,HY190120,03/19/2015 02:35:00 AM,075XX S DANTE AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,true,false,0411,004,5,43,04A,1187181,1855264,2015,02/10/2018 03:50:01 PM,41.757946916,-87.589563944,"(41.757946916, -87.589563944)"
10000176,HY190142,03/19/2015 04:00:00 AM,069XX W ARCHER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,DRUG STORE,false,false,0811,008,23,56,14,1131121,1867291,2015,02/10/2018 03:50:01 PM,41.79209768,-87.794744914,"(41.79209768, -87.794744914)"
10000178,HY190144,03/19/2015 03:34:00 AM,009XX W 75TH ST,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,VEHICLE NON-COMMERCIAL,true,false,0733,007,17,68,26,1171162,1855268,2015,02/10/2018 03:50:01 PM,41.758322944,-87.648271397,"(41.758322944, -87.648271397)"
10000179,HY190111,03/19/2015 02:05:00 AM,051XX W CHICAGO AVE,0460,BATTERY,SIMPLE,GAS STATION,true,false,1531,015,37,25,08B,1141741,1904839,2015,02/10/2018 03:50:01 PM,41.894945606,-87.754874977,"(41.894945606, -87.754874977)"
10000180,HY190143,03/19/2015 04:29:00 AM,044XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,false,false,1623,016,45,15,14,1141634,1928858,2015,02/10/2018 03:50:01 PM,41.96085819,-87.754672619,"(41.96085819, -87.754672619)"
10000182,HY190084,03/18/2015 11:35:00 PM,023XX W 47TH ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0924,009,12,61,03,1161542,1873450,2015,02/10/2018 03:50:01 PM,41.808421621,-87.683023997,"(41.808421621, -87.683023997)"
10000184,HY190139,03/19/2015 03:11:00 AM,045XX W DEMING PL,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,true,false,2521,025,31,20,05,1145724,1916657,2015,02/10/2018 03:50:01 PM,41.927300801,-87.739946037,"(41.927300801, -87.739946037)"
10000185,HY190119,03/19/2015 02:31:00 AM,037XX W CHICAGO AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1112,011,27,23,04B,1151389,1905083,2015,02/10/2018 03:50:01 PM,41.895431204,-87.71943374,"(41.895431204, -87.71943374)"
10000186,HY190093,03/19/2015 12:09:00 AM,0000X W OAK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,1832,018,42,8,15,1175558,1907139,2015,02/10/2018 03:50:01 PM,41.90056412,-87.630605473,"(41.90056412, -87.630605473)"
10000188,HY190076,03/19/2015 12:01:00 AM,004XX W 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,0732,007,6,68,08B,1174724,1858517,2015,02/10/2018 03:50:01 PM,41.767160003,-87.635120381,"(41.767160003, -87.635120381)"
10000190,HY190026,03/18/2015 10:30:00 PM,035XX W CARROLL AVE,0810,THEFT,OVER $500,OTHER,false,true,1123,011,28,27,06,1152754,1902171,2015,02/10/2018 03:50:01 PM,41.887413474,-87.714497528,"(41.887413474, -87.714497528)"
10000191,HY190013,03/18/2015 10:15:00 PM,038XX S WOOD ST,1020,ARSON,BY FIRE,STREET,false,false,0912,009,11,59,09,1164984,1879229,2015,02/10/2018 03:50:01 PM,41.824207682,-87.670235939,"(41.824207682, -87.670235939)"
10000194,HY190147,03/19/2015 04:38:00 AM,033XX W DIVERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1412,014,35,22,08B,1153733,1918424,2015,02/10/2018 03:50:01 PM,41.931993727,-87.710468903,"(41.931993727, -87.710468903)"
10000196,HY190106,03/19/2015 12:30:00 AM,107XX S HALSTED ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,2233,022,34,75,04B,1172884,1833731,2015,02/10/2018 03:50:01 PM,41.699184632,-87.642593834,"(41.699184632, -87.642593834)"
10000197,HY190067,03/18/2015 11:20:00 PM,046XX S INDIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0215,002,3,38,04B,1178377,1874403,2015,02/10/2018 03:50:01 PM,41.81067058,-87.621248438,"(41.81067058, -87.621248438)"
10000199,HY190149,03/19/2015 02:00:00 AM,039XX W LAWRENCE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1712,017,39,14,06,1149072,1931603,2015,02/10/2018 03:50:01 PM,41.968249578,-87.727255053,"(41.968249578, -87.727255053)"
10000200,HY189240,03/10/2015 08:00:00 AM,002XX E PERSHING RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"SCHOOL, PUBLIC, BUILDING",false,false,0212,002,3,35,26,1178744,1879190,2015,02/10/2018 03:50:01 PM,41.823798151,-87.619756522,"(41.823798151, -87.619756522)"
10000201,HY190159,03/18/2015 08:00:00 PM,082XX S MOZART ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0835,008,18,70,06,1158810,1849882,2015,02/10/2018 03:50:01 PM,41.743803922,-87.693687357,"(41.743803922, -87.693687357)"
10000202,HY190090,03/19/2015 12:35:00 AM,052XX S CORNELL AVE,031A,ROBBERY,ARMED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,0234,002,4,41,03,1188049,1870822,2015,02/10/2018 03:50:01 PM,41.80061868,-87.585887262,"(41.80061868, -87.585887262)"
10000203,HY190151,03/19/2015 01:00:00 AM,020XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2525,025,30,20,14,1149380,1913410,2015,02/10/2018 03:50:01 PM,41.918320523,-87.726596048,"(41.918320523, -87.726596048)"
10000204,HY190086,03/18/2015 05:00:00 PM,001XX W RANDOLPH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0122,001,42,32,08A,1174851,1901269,2015,02/10/2018 03:50:01 PM,41.884472382,-87.633378182,"(41.884472382, -87.633378182)"
